# ----------------------------------------
# OpenSooq.ALL
# Search Terms
# 20140101-20140522
# ----------------------------------------

Search Term,Total Unique Searches,Results Pageviews / Search,% Search Exits,% Search Refinements,Time after Search,Search Depth
اكسينت,342,2.21,12.57%,37.78%,00:03:42,4.56
بوز نمر كوبيه,342,2.78,11.99%,29.20%,00:03:26,2.86
تندرا 2008,342,5.45,13.45%,12.55%,00:08:20,6.47
سيامي,342,2.44,21.93%,28.06%,00:05:09,3.35
طقم كورنر,342,7.41,16.96%,7.93%,00:09:14,10.87
طوافه,342,1.75,9.94%,52.33%,00:02:09,2.43
فورد سكيب 2009,342,6.97,20.18%,7.42%,00:10:35,7.42
مدينة الشرق,342,5.75,17.84%,8.95%,00:09:32,8.03
مقرون صيد,342,1.96,9.06%,41.28%,00:04:57,5.24
مكه,342,6.63,23.10%,5.16%,00:07:56,8.21
1300,341,3.87,5.87%,22.73%,00:04:20,3.84
تنجيد,341,3.48,16.42%,16.41%,00:06:35,7.18
جورني,341,3.56,18.77%,12.45%,00:06:58,5.93
حى الاندلس,341,6.45,26.10%,6.86%,00:16:13,7.74
سنتافي 2009,341,3.03,9.68%,25.92%,00:07:01,6.04
شفرليت افيو,341,3.63,7.04%,21.63%,00:08:24,7.36
فورد اسكيب 2008,341,5.93,19.06%,9.05%,00:10:01,8.66
فيلا ارضية,341,9.75,24.93%,5.38%,00:13:40,9.66
كيا باص,341,4.52,14.08%,16.62%,00:06:47,7.92
ميتسوبيشي لانسر 2010,341,5.51,16.72%,11.66%,00:07:52,6.96
607,340,2.14,11.47%,31.27%,00:07:19,6.82
camry 2012,340,4.34,14.12%,12.28%,00:07:07,6.43
LG G2,340,2.30,12.65%,20.36%,00:07:10,5.86
s400,340,2.12,7.35%,35.69%,00:03:24,4.23
البقعة,340,4.76,22.06%,16.08%,00:05:38,5.33
الهاني,340,4.31,18.24%,16.11%,00:10:18,5.53
بيجو 307 كشف,340,3.21,10.59%,22.05%,00:06:29,4.64
جنزور شهداء عبد الجليل,340,3.95,24.41%,15.05%,00:07:16,6.19
دسكات ps3,340,7.24,26.47%,7.19%,00:11:04,7.96
سفره,340,6.72,19.41%,8.32%,00:10:14,11.26
سوفت,340,2.30,10.00%,38.62%,00:03:07,3.16
سيرانتو,340,1.99,9.41%,43.85%,00:04:38,4.68
متسوبيشي لانسر 93,340,4.78,8.53%,15.46%,00:08:06,8.26
نظارة,340,3.50,14.71%,17.63%,00:08:15,6.12
هيلكس,340,2.13,14.41%,35.22%,00:03:48,3.06
اودي tt,339,2.90,12.09%,24.31%,00:05:45,6.11
تربيه خاصه,339,3.93,29.50%,10.29%,00:06:28,7.47
ميكاترونكس,339,2.68,12.68%,18.52%,00:04:41,6.13
Ford escape,338,4.82,24.26%,8.83%,00:07:15,5.45
Mini,338,2.38,12.13%,33.62%,00:03:36,2.89
ارقام مميزه,338,6.40,23.08%,8.46%,00:06:57,7.91
انفوى,338,5.25,20.41%,10.55%,00:07:51,7.48
بي ام دبل يو,338,2.60,10.06%,32.57%,00:04:39,5.26
توسان 2007,338,4.36,13.61%,15.12%,00:08:45,7.86
راديو,338,3.59,18.05%,19.79%,00:04:57,4.76
رقم سياره,338,7.59,22.78%,9.31%,00:07:00,9.39
رنجلر,338,2.21,8.58%,37.03%,00:04:02,4.40
س4,338,2.51,6.80%,31.84%,00:05:04,3.86
متسوبيشي 2004,338,4.04,12.13%,20.20%,00:05:31,5.63
نيسان نفارا,338,1.93,7.40%,43.27%,00:04:02,3.46
BMW 325,337,3.59,16.62%,18.84%,00:07:41,6.83
Nokia,337,5.39,23.74%,12.71%,00:05:52,3.94
الطائف,337,8.19,27.00%,2.57%,00:09:21,8.39
المشروع,337,7.21,17.80%,7.86%,00:12:35,10.82
النترا 2003,337,3.77,12.76%,17.81%,00:06:43,6.85
باص بيستا,337,4.58,14.54%,15.92%,00:07:51,7.01
بريوس2010,337,3.82,13.95%,17.88%,00:05:49,5.50
بيت ريفي,337,4.70,6.23%,24.18%,00:07:58,7.51
بيجو 505,337,2.05,9.20%,38.06%,00:04:09,3.50
سي سي,337,3.31,7.12%,28.32%,00:05:00,3.67
سيارات كيا,337,6.95,18.99%,11.06%,00:09:24,5.76
سيدى فرج,337,6.31,24.04%,6.06%,00:11:56,9.41
نت,337,3.26,11.57%,25.14%,00:05:21,3.82
احذيه,336,4.82,14.88%,11.24%,00:08:03,7.32
جرة غاز,336,3.04,12.50%,19.47%,00:06:37,7.97
كيا ريو 2011,336,3.37,12.80%,22.79%,00:04:28,5.36
متسوبيشي 2005,336,4.44,13.39%,18.11%,00:05:50,5.35
همبورقا,336,2.54,10.12%,30.33%,00:05:31,5.18
BMW 528,335,3.77,11.94%,21.32%,00:05:55,4.59
E350,335,2.30,8.06%,32.81%,00:06:51,4.61
الصين,335,4.57,24.48%,12.79%,00:09:25,5.51
جديد,335,5.47,17.91%,11.74%,00:07:09,6.09
خاتم,335,3.51,18.81%,17.96%,00:05:08,6.11
كيا فورتي 2011,335,5.67,16.42%,11.22%,00:07:15,5.93
لانصر,335,2.36,7.76%,37.88%,00:05:05,4.81
هوندا 2002,335,3.96,7.76%,21.42%,00:08:03,4.84
c200 2009,334,2.09,11.98%,37.63%,00:04:24,3.75
glx,334,3.96,15.57%,17.16%,00:07:16,6.92
not 3,334,2.53,11.98%,32.43%,00:04:07,3.81
أتوز,334,3.73,12.87%,16.44%,00:05:54,5.03
توسان 2008,334,3.47,12.87%,19.57%,00:06:59,5.82
جبس بورد,334,4.91,15.57%,9.15%,00:10:22,9.05
سامسونج نوت 3,334,3.89,23.95%,11.86%,00:07:21,5.75
فورتنر,334,3.26,19.76%,19.83%,00:04:25,4.66
كلايزر,334,2.17,12.57%,37.52%,00:03:40,4.32
كياسيراتو,334,2.77,17.37%,24.76%,00:06:18,6.18
مرسيدس 2000,334,4.56,12.28%,16.81%,00:05:34,4.27
هيونداي فيرنا,334,6.22,19.16%,10.01%,00:08:58,7.76
i 30,333,2.35,11.41%,30.09%,00:06:38,6.25
lumia 1520,333,1.60,16.22%,38.76%,00:03:16,2.10
توصيل موظفين,333,5.96,16.82%,8.16%,00:09:57,10.08
تويوتا كورولا 2006,333,3.48,10.21%,21.72%,00:04:56,4.89
ذي قار,333,9.18,29.73%,3.21%,00:11:29,9.93
ستروين c2,333,2.96,11.11%,27.69%,00:05:16,4.38
سيت,333,2.03,8.41%,46.45%,00:03:38,4.15
طاولة بلياردو,333,4.48,18.62%,10.66%,00:06:49,7.22
طب,333,3.96,14.71%,14.56%,00:06:50,7.19
فكترا 2002,333,4.28,12.01%,17.39%,00:07:28,7.32
فورد موستينج,333,4.49,13.81%,16.52%,00:05:09,6.41
لاجونا,333,1.82,7.21%,50.58%,00:03:30,3.06
لينوفو,333,3.79,17.42%,18.15%,00:05:38,4.07
ورق حائط,333,3.53,15.02%,12.49%,00:10:03,8.66
nexus 7,332,2.14,17.77%,22.14%,00:05:51,5.08
الخبر,332,3.83,32.53%,6.77%,00:10:53,7.67
باص h1,332,5.48,19.28%,11.04%,00:06:26,5.48
بودزيرة,332,6.84,22.29%,5.24%,00:13:04,13.06
تويوتا سكويا,332,3.77,17.47%,17.19%,00:07:58,6.16
ربع,332,3.27,8.73%,27.16%,00:03:15,2.58
زيت,332,3.80,16.87%,19.51%,00:06:00,4.60
كامري se,332,3.28,10.24%,23.42%,00:06:23,6.32
كامري اسود,332,6.84,18.37%,9.34%,00:08:56,7.77
كياسيفيا,332,3.57,13.86%,23.46%,00:05:33,5.08
موطو ياماها,332,4.62,16.57%,16.68%,00:05:24,4.33
core,331,2.54,12.69%,33.45%,00:03:27,2.89
safety,331,2.21,15.71%,30.51%,00:03:27,3.07
استراليا,331,3.10,20.54%,12.59%,00:06:24,5.77
افنتي,331,3.49,10.57%,24.78%,00:04:28,4.38
الموقر,331,6.39,21.75%,9.46%,00:09:54,7.85
صياد,331,3.77,12.69%,16.68%,00:07:44,6.78
غرفه,331,5.64,20.54%,10.56%,00:05:41,5.02
كيا أوبتما,331,5.51,27.79%,9.32%,00:08:47,7.22
مطلوب فني كهرباء,331,3.14,37.76%,10.30%,00:07:15,5.47
مودم,331,3.83,15.11%,14.98%,00:06:24,5.32
نيسان باثفندر,331,2.93,13.90%,23.40%,00:04:57,4.37
اسبرو,330,5.24,13.64%,14.18%,00:07:12,7.61
التيما هايبرد,330,5.71,14.55%,11.74%,00:07:28,6.66
سامسونج sm3,330,3.39,14.55%,20.75%,00:07:08,6.04
عاملة نظافة,330,4.74,20.91%,10.54%,00:08:57,9.94
L200,329,3.49,17.63%,18.97%,00:05:44,4.90
بيوت مستقلة,329,9.73,30.70%,4.90%,00:13:30,11.02
تايجر,329,2.77,13.37%,22.81%,00:05:51,5.16
سوبرتاج,329,2.32,12.46%,34.91%,00:05:29,5.60
لغة انجليزية,329,6.04,22.19%,7.75%,00:10:03,8.48
2jz,328,1.27,6.40%,70.98%,00:01:22,1.57
Htc one,328,3.80,25.00%,11.16%,00:05:13,4.55
Mac,328,2.86,17.07%,17.72%,00:05:47,4.82
xd 2001,328,5.00,12.50%,13.83%,00:08:12,8.00
اتش تي سي,328,2.36,13.11%,30.71%,00:05:13,3.96
بيئم,328,2.16,10.67%,39.46%,00:04:38,7.03
جولف 89,328,3.55,9.15%,19.48%,00:05:18,5.53
جيمس انفوي,328,4.41,14.63%,18.69%,00:07:53,5.94
فريز,328,4.09,14.33%,15.21%,00:10:12,10.87
كاش يو,328,2.71,11.89%,11.01%,00:06:40,5.75
كندشن,328,3.53,18.29%,20.48%,00:05:44,5.30
لوتسي,328,3.81,10.37%,20.66%,00:06:27,6.42
1975,327,2.06,5.20%,45.40%,00:03:12,2.02
bmw بسه,327,4.97,14.68%,14.76%,00:06:45,5.53
harley,327,2.44,15.60%,22.78%,00:03:07,3.84
العامرية,327,5.73,25.08%,9.44%,00:07:31,7.88
بكب مازدا,327,2.56,7.65%,32.14%,00:04:54,4.32
جامع الصقع,327,5.66,19.27%,13.19%,00:09:17,7.12
سوبر بان,327,2.67,11.31%,31.54%,00:03:14,3.09
سيارات اتوماتيك,327,12.51,40.06%,3.86%,00:17:31,11.00
شقق مفروشة للايجار,327,10.94,33.03%,3.41%,00:10:51,9.44
فحم,327,4.25,18.65%,11.02%,00:08:34,7.71
مازدا 2010,327,4.02,16.21%,15.29%,00:08:38,6.18
مستشار قانوني,327,3.34,17.43%,13.00%,00:05:28,6.14
ميتسوبيشي ﻻنسر,327,4.29,19.27%,16.03%,00:05:32,5.46
citroen,326,2.19,9.82%,38.66%,00:03:46,3.39
e200 2009,326,2.84,10.12%,26.03%,00:03:58,3.47
ابواب تركية,326,4.51,13.80%,12.38%,00:11:39,7.11
بصمة,326,5.78,19.33%,12.47%,00:14:05,7.02
بيجو اتوماتيك,326,7.61,19.02%,9.91%,00:11:09,8.06
تويوتا خيمة,326,2.08,6.44%,43.81%,00:05:25,4.24
حفاره,326,5.54,15.34%,12.19%,00:07:42,6.57
ساترن,326,2.32,8.28%,34.97%,00:05:53,6.40
سيفيك 2004,326,4.39,12.88%,17.54%,00:06:54,5.86
شفاط,326,4.03,21.78%,14.47%,00:07:28,6.90
علاج وظيفي,326,2.82,15.34%,22.31%,00:03:17,3.07
عيادة اسنان,326,5.70,14.72%,9.47%,00:11:01,10.50
كيا 96,326,6.64,17.79%,9.33%,00:08:40,8.23
كيا سبرتاج,326,2.42,11.04%,38.61%,00:05:02,4.83
كياريو,326,2.17,7.06%,43.22%,00:03:43,4.11
نيسان صني 2000,326,3.75,8.90%,23.45%,00:05:53,4.82
هونداي أفانتي,326,7.53,19.94%,7.65%,00:13:16,8.57
macbook pro,325,2.95,17.54%,14.70%,00:05:39,4.56
ايفون ٥,325,3.53,20.92%,14.90%,00:05:02,4.33
بوكلين,325,2.72,13.85%,22.96%,00:05:58,5.45
توسان 2005,325,3.61,12.62%,19.61%,00:06:05,6.66
ربوة عبدون,325,4.78,16.00%,11.66%,00:08:48,8.06
فيرنا 2002,325,3.86,17.85%,17.13%,00:06:42,7.10
هوندا سي ار في,325,2.79,11.38%,26.27%,00:04:38,3.90
هونداي توسان 2009,325,5.84,16.31%,11.49%,00:10:00,9.12
camry 2009,324,6.48,17.59%,8.23%,00:08:47,7.48
corvette,324,1.72,9.88%,45.88%,00:02:25,2.26
g55,324,1.96,6.48%,43.38%,00:03:09,3.46
ارض شفا بدران,324,9.19,26.23%,5.38%,00:11:48,9.42
السخنة,324,3.75,10.49%,19.69%,00:06:23,7.22
اوبل فكترا 2000,324,4.81,15.43%,18.40%,00:07:02,5.87
شنار,324,2.91,9.88%,26.19%,00:04:59,4.50
ضاحيه الرشيد,324,8.09,20.68%,6.34%,00:13:17,12.90
طيران,324,3.46,18.52%,17.77%,00:06:25,6.35
كوبية,324,5.96,14.81%,12.85%,00:05:44,5.99
متسوبيشي جلنت,324,4.07,14.51%,18.42%,00:07:01,5.37
متشي جي تي,324,2.09,7.10%,42.77%,00:05:05,4.53
bmw coupe,323,1.94,6.19%,44.43%,00:03:04,2.67
translator,323,1.51,10.84%,54.19%,00:02:26,2.44
بدون جمرك مرسيدس,323,3.22,58.51%,11.43%,00:03:35,3.11
سانغ يونغ,323,2.90,12.69%,25.83%,00:04:40,5.26
ماجستير,323,3.75,20.12%,12.23%,00:07:04,6.55
ملابس اطفال,323,4.90,15.79%,10.42%,00:08:25,7.43
بنادق,322,1.78,6.52%,47.56%,00:03:42,4.50
بي ام دبليو 318,322,4.05,11.80%,19.03%,00:06:19,5.98
بيكانتو 2013,322,3.57,11.49%,20.89%,00:06:03,5.96
خراط,322,3.52,15.53%,18.55%,00:07:40,10.93
خلاط,322,3.41,15.53%,20.88%,00:06:07,5.52
ستيريو,322,4.82,11.18%,13.33%,00:13:53,17.51
شقق للاجار,322,7.71,20.81%,7.29%,00:09:15,9.41
شقه فارغه للايجار,322,12.89,24.53%,3.01%,00:13:30,14.49
فور,322,2.45,10.56%,36.71%,00:03:35,3.10
فورويل,322,4.10,11.18%,21.67%,00:04:53,4.48
قحاب,322,1.26,9.32%,71.18%,00:01:56,1.74
متسوبيشي لانسر 2000,322,4.71,11.80%,16.80%,00:05:51,4.80
مرسيدس مضروب,322,7.43,24.53%,10.16%,00:08:32,5.49
180,321,3.84,8.72%,21.65%,00:05:40,6.92
bmw 2000,321,4.78,14.33%,16.50%,00:05:42,4.82
افانتي97,321,3.67,14.02%,19.97%,00:05:38,5.60
ترهونة,321,5.22,16.51%,10.63%,00:11:18,9.75
دخيرة,321,1.35,9.03%,69.28%,00:02:30,2.46
كورولا 2013,321,2.88,11.84%,27.38%,00:06:00,2.98
كيا ريو 2001,321,3.93,16.20%,15.60%,00:08:02,8.48
كيميائى,321,1.84,30.84%,17.09%,00:03:00,2.61
مهندسين,321,4.59,31.78%,9.10%,00:07:56,5.90
تويوتا سيلكا,320,2.65,10.00%,30.62%,00:05:18,5.62
ج,320,1.61,11.25%,56.61%,00:02:31,3.32
سيارات اعفاء,320,6.20,34.69%,9.63%,00:06:38,3.61
شقة مفروشة للايجار,320,8.65,24.06%,4.45%,00:11:33,10.41
قولف4,320,2.21,6.25%,41.78%,00:04:37,5.22
معلمات,320,4.09,28.12%,12.08%,00:05:03,5.16
هوندا سيفك 2007,320,4.64,20.00%,15.35%,00:06:07,4.81
dog,319,2.02,11.29%,40.06%,00:02:48,3.80
Galaxy,319,4.28,28.84%,12.66%,00:06:14,4.02
اتوماتك,319,5.26,19.75%,12.99%,00:08:47,7.93
الكريميه,319,6.66,21.00%,8.76%,00:12:55,7.61
حدائق,319,3.45,19.75%,19.24%,00:08:30,5.75
سياحة وسفر,319,4.58,24.14%,7.26%,00:09:03,6.82
صوبة,319,5.30,19.12%,12.19%,00:07:19,6.79
فيشر,319,1.91,9.40%,38.42%,00:03:55,3.35
كيا سبورتج 2009,319,4.24,13.17%,15.98%,00:07:22,6.70
لنسر,319,1.90,8.78%,49.83%,00:02:51,3.72
متسوبيشي 2010,319,4.80,16.93%,14.77%,00:06:08,6.16
مطلوب سائقين,319,8.29,21.00%,6.47%,00:10:11,10.64
هونداي سوناتا 2008,319,4.56,16.30%,14.22%,00:07:13,6.03
clio,318,1.81,11.32%,43.15%,00:02:53,3.36
دينا,318,3.24,22.64%,17.75%,00:03:56,4.56
سبلت,318,3.91,23.90%,10.53%,00:06:53,8.96
سيارات شطب,318,5.18,24.21%,12.15%,00:08:46,7.00
شيري كيو كيو,318,4.99,18.87%,12.48%,00:06:15,7.40
معالج,318,3.87,19.18%,16.90%,00:07:30,5.49
هجرة,318,4.23,16.98%,12.04%,00:06:37,6.19
xd 2000,317,4.91,15.77%,12.15%,00:07:35,7.64
xd 2004,317,3.27,11.67%,21.97%,00:05:17,5.27
بريوس مضروب,317,5.75,23.34%,10.64%,00:09:32,5.93
ريو 2006,317,3.15,8.20%,25.40%,00:05:16,5.21
عجانه,317,4.82,15.14%,12.12%,00:09:35,8.05
غرغور,317,4.46,16.40%,12.52%,00:09:03,9.31
فيرنا 2009,317,3.77,14.20%,18.23%,00:07:24,6.11
مستبيشي لانسر,317,2.72,9.46%,34.65%,00:05:26,6.07
هزاز,317,2.17,12.30%,35.52%,00:03:46,3.42
8500,316,8.41,19.62%,8.99%,00:08:33,7.52
beetle,316,1.85,10.44%,44.86%,00:03:02,3.41
c7,316,2.13,8.86%,29.82%,00:07:46,7.16
IPHONE,316,4.30,19.62%,15.07%,00:08:23,5.29
s duos,316,2.71,12.34%,23.80%,00:06:57,6.17
راف4,316,1.79,8.23%,50.88%,00:03:47,3.59
سنتافي 2007,316,3.67,11.39%,19.76%,00:07:39,6.41
سياره سامسونج,316,5.28,12.97%,10.37%,00:08:04,7.00
شراكه,316,5.17,12.97%,15.30%,00:07:06,7.16
شقة طرابلس,316,11.84,30.38%,6.42%,00:16:31,10.00
صالون حلاقة,316,3.53,12.66%,20.11%,00:05:16,5.54
مدرب,316,3.81,16.46%,16.78%,00:06:26,5.56
مصنع للبيع,316,7.97,23.73%,7.19%,00:10:46,8.27
هنداي فيرنا,316,3.69,8.86%,21.51%,00:06:24,6.42
هوندا اكورد هايبرد,316,4.94,14.56%,13.71%,00:07:11,6.06
call center,315,3.44,13.65%,15.02%,00:07:40,8.02
أمين مستودع,315,1.79,25.40%,22.12%,00:03:50,3.02
بي ام 740,315,1.84,5.71%,47.84%,00:02:44,2.83
بي ام دبليو وطواط,315,4.03,13.33%,17.98%,00:05:51,6.11
شقق مرج الحمام,315,9.10,24.13%,6.91%,00:13:47,9.94
ضامن,315,4.31,17.14%,14.29%,00:10:28,10.64
مكسيما 2010,315,2.25,9.52%,36.44%,00:04:12,3.83
cpu,314,4.75,17.83%,14.01%,00:07:24,5.11
اقساط بدون بنوك,314,6.68,21.02%,8.77%,00:09:09,8.88
بي ام فروج,314,3.65,12.42%,19.90%,00:06:52,5.54
تيوتا 88,314,2.68,7.32%,35.00%,00:05:39,4.83
جلسه,314,7.13,20.70%,6.52%,00:13:01,12.54
شفرليت ابترا,314,2.96,13.06%,26.56%,00:06:16,5.53
شقة صلاح الدين,314,5.39,23.57%,9.52%,00:09:49,8.52
صالحية العابد,314,6.86,10.19%,8.36%,00:09:11,9.55
غرفة نوم اطفال,314,5.41,16.56%,7.95%,00:09:59,9.31
كرسي اسنان,314,3.84,22.93%,17.26%,00:08:44,5.43
كيا سيفيا 93,314,5.41,18.15%,11.95%,00:07:15,6.54
مدرسين,314,3.97,21.02%,10.83%,00:05:30,5.42
همر h2,314,2.50,14.33%,26.08%,00:03:58,3.96
I phone 5,313,3.59,24.92%,15.12%,00:05:07,4.19
تويوتا 2010,313,4.55,11.82%,17.36%,00:06:36,4.56
تويوتا ستارليت,313,1.95,8.63%,44.35%,00:02:44,3.12
خلويات اقساط,313,6.35,13.42%,9.71%,00:08:15,8.43
دبلوم,313,4.47,20.45%,10.71%,00:06:48,7.24
ديانا للبيع,313,7.48,32.91%,5.90%,00:11:33,8.94
سيرنتو,313,1.79,9.90%,46.52%,00:03:24,3.31
سيكل,313,3.50,20.77%,15.05%,00:04:08,4.81
صبراته,313,6.17,34.50%,6.11%,00:13:39,7.62
فيرنا 2012,313,2.98,10.86%,25.70%,00:05:34,5.00
كامري 2000,313,3.03,12.14%,28.66%,00:03:53,3.58
كوافيره,313,5.51,20.77%,11.12%,00:07:07,7.12
لمبرغيني,313,1.42,7.03%,68.69%,00:01:41,2.33
ماكينة خياطة,313,3.13,10.86%,19.10%,00:09:02,8.89
هوندا اكورد 2008,313,4.07,13.74%,15.76%,00:06:27,6.42
swift,312,1.34,5.77%,66.43%,00:01:47,2.02
الحي الشرقي,312,6.84,19.23%,7.83%,00:10:54,9.58
بنك,312,3.38,13.14%,17.46%,00:05:32,6.96
بورتو,312,2.47,11.54%,26.55%,00:06:54,8.07
تك باب,312,4.98,18.91%,13.95%,00:05:37,5.05
تلفاز,312,3.08,14.10%,24.77%,00:06:44,6.94
تويوتا بقرة,312,4.55,21.79%,13.02%,00:07:47,6.81
جيب 2010,312,2.95,15.38%,26.99%,00:05:26,3.62
سيارات مخبوطه,312,3.78,11.22%,22.33%,00:07:01,6.08
كيا سبكترا 2002,312,5.33,21.79%,11.24%,00:08:40,7.88
مجلس,312,4.44,17.95%,14.88%,00:06:47,9.06
مطلوب شقة للايجار,312,7.62,51.60%,3.37%,00:12:59,11.03
مطلوب عمال,312,3.77,29.49%,11.91%,00:08:42,7.10
هيونداي سنتافي,312,5.98,18.59%,10.44%,00:10:06,8.67
400,311,4.02,12.22%,18.31%,00:05:21,4.98
h3,311,2.62,8.36%,28.83%,00:04:16,3.81
LED,311,4.26,19.61%,14.43%,00:04:47,4.46
S350,311,3.55,16.08%,19.55%,00:04:38,5.04
tiguan,311,1.76,11.90%,43.33%,00:03:59,2.31
افانتي اوتوماتيك,311,6.60,19.61%,8.77%,00:10:07,8.55
بك اب ميتسوبيشي,311,2.80,12.54%,31.19%,00:07:56,3.77
سيجاره,311,3.93,21.22%,13.98%,00:07:22,7.19
فيرنا اتوماتيك,311,4.59,15.43%,16.93%,00:08:12,7.32
فيلا في السراج,311,12.37,28.30%,3.72%,00:16:47,10.01
قولف5,311,2.04,3.86%,45.51%,00:05:07,5.33
ماكنة,311,6.41,22.83%,9.08%,00:09:17,6.43
معلم,311,3.95,20.90%,15.61%,00:04:51,4.78
ميتسوبيشي لانسر 2011,311,5.45,16.40%,14.74%,00:07:23,5.68
هنداي النترا,311,3.50,12.22%,24.43%,00:05:31,5.38
G class,310,2.01,13.87%,37.14%,00:03:06,2.75
galaxy core,310,2.60,13.55%,22.80%,00:06:39,5.49
ابحث,310,4.48,12.90%,17.12%,00:07:01,7.64
الماضونة,310,3.65,10.65%,16.34%,00:06:55,8.36
ايباد ميني,310,2.70,21.29%,20.81%,00:05:03,4.51
باص عمومي,310,2.57,15.48%,27.39%,00:04:52,4.38
ستار اكس,310,3.30,10.65%,20.94%,00:05:52,5.63
شقق للبيع اقساط,310,11.15,18.39%,6.16%,00:09:19,9.84
كيا سبورتج 2010,310,2.91,9.68%,29.97%,00:03:50,4.20
متسوبيشي لانسر 2009,310,4.62,19.03%,13.98%,00:05:40,5.36
4,309,2.91,12.62%,28.40%,00:04:53,3.73
bmw 525i,309,2.99,16.83%,25.35%,00:04:34,4.00
gear,309,2.85,18.12%,19.73%,00:06:01,5.06
TOYOTA,309,7.97,24.60%,7.88%,00:11:17,6.63
الجيزه,309,7.01,23.62%,6.05%,00:11:41,14.69
النترا 1994,309,4.89,14.56%,12.84%,00:07:44,7.27
بقالينو,309,2.39,13.59%,27.33%,00:06:36,6.22
رافعه,309,3.96,17.48%,19.67%,00:06:47,4.94
سيار,309,6.04,31.72%,6.81%,00:08:44,4.97
شيفرولية,309,4.54,11.33%,18.26%,00:07:37,4.42
طاهي,309,2.88,15.86%,23.46%,00:04:55,4.56
قطع غيار سيارات,309,4.07,15.86%,16.93%,00:07:14,4.92
كامرى 2010,309,4.13,14.56%,17.25%,00:07:54,5.98
كرينا,309,2.85,9.71%,33.79%,00:03:51,4.17
لانسر قرش,309,2.31,6.15%,30.58%,00:06:18,6.43
محرر,309,2.27,20.06%,22.22%,00:05:07,4.51
galaxy note,308,2.98,19.81%,19.70%,00:05:02,3.56
بي ام الدب,308,6.24,15.58%,11.86%,00:09:09,6.87
ديسكوات بي ام,308,6.44,25.00%,8.97%,00:08:49,8.04
شراء,308,3.76,18.18%,15.99%,00:06:40,6.90
فولف,308,1.77,6.82%,53.48%,00:03:30,3.54
قابينه,308,7.40,17.53%,8.46%,00:11:04,7.55
كهربائيات,308,5.46,14.94%,12.84%,00:06:18,5.58
ماركت,308,5.70,15.58%,13.38%,00:06:45,7.78
samsung galaxy s2,307,3.34,14.98%,20.70%,00:04:50,4.61
اسطوانة غاز,307,2.71,10.42%,27.40%,00:06:22,7.52
افانتي96,307,3.84,14.33%,20.27%,00:04:21,5.09
انتوراج,307,2.81,12.70%,24.01%,00:07:59,5.94
بكم للبيع,307,8.50,10.75%,10.08%,00:07:58,5.68
تكسي اقساط,307,4.25,14.33%,16.49%,00:07:04,6.19
جريت وول,307,2.39,8.79%,33.51%,00:04:54,5.13
سعر مغري,307,7.99,19.87%,7.01%,00:11:53,9.14
سيارات مخبوطة,307,3.95,10.42%,28.63%,00:05:28,5.24
ضاحية الامير راشد,307,5.61,16.29%,13.65%,00:06:05,5.40
طاوله,307,5.56,22.80%,10.83%,00:08:48,7.77
فينيسيا,307,5.21,21.17%,9.26%,00:12:53,9.79
فيومي,307,2.59,11.73%,19.35%,00:07:51,7.90
قلاب سنجل,307,3.30,15.64%,26.16%,00:04:50,4.38
هوندا سيفيك 2009,307,3.85,18.24%,17.01%,00:06:41,4.79
cl,306,1.38,8.82%,61.70%,00:01:51,1.91
iphone 4g,306,3.14,15.69%,21.04%,00:05:02,4.55
x1,306,1.85,8.17%,35.45%,00:06:10,4.54
جيب توسان,306,6.20,16.67%,9.91%,00:07:51,7.39
سلبرتي,306,2.32,10.46%,38.68%,00:02:44,2.51
كولورادو,306,2.86,9.48%,27.17%,00:07:01,7.00
هونداي سونتا,306,3.52,15.03%,20.96%,00:07:07,5.88
lumia 925,305,2.00,15.08%,27.99%,00:04:23,3.56
تاب 2,305,4.20,15.08%,14.45%,00:07:44,8.28
جنط مرسيدس,305,5.48,17.70%,13.17%,00:05:26,4.22
جيب ليبيرتي,305,3.22,14.43%,23.32%,00:11:32,5.32
حجر,305,3.99,16.39%,17.73%,00:06:31,5.87
دايو سلو,305,3.28,8.52%,27.77%,00:07:21,5.44
دراجه هوائيه,305,5.72,18.36%,11.11%,00:07:21,7.54
سمسونج,305,2.24,10.49%,40.79%,00:05:46,5.21
سيارات اقصاط,305,5.21,18.03%,12.96%,00:06:26,6.17
سيارات هونداي,305,7.73,21.31%,8.86%,00:08:43,6.93
شبنة,305,7.46,21.64%,7.60%,00:14:19,9.98
قلاب للبيع,305,9.34,31.15%,6.39%,00:09:48,6.50
مخبز للبيع,305,5.26,14.10%,12.21%,00:06:35,6.85
250,304,3.72,10.86%,19.82%,00:05:24,6.13
cts,304,2.98,11.51%,23.87%,00:05:13,5.50
الاندلس,304,4.76,21.05%,13.06%,00:04:50,5.56
بي ام 330,304,2.52,9.87%,33.68%,00:04:42,3.61
تجميل,304,5.01,15.79%,12.35%,00:07:30,8.40
رافعة شوكية,304,4.31,21.38%,12.99%,00:08:05,8.05
سيارات قديمة,304,3.97,20.72%,17.55%,00:04:33,5.12
سياره غير مجمركه,304,8.16,43.42%,6.20%,00:09:53,5.21
صنى,304,4.18,12.83%,16.43%,00:07:12,5.85
طوب,304,3.27,11.51%,23.12%,00:05:57,5.71
فترة مسائية,304,5.20,32.24%,4.81%,00:12:09,10.02
