# ----------------------------------------
# OpenSooq.ALL
# Search Terms
# 20140101-20140522
# ----------------------------------------

Search Term,Total Unique Searches,Results Pageviews / Search,% Search Exits,% Search Refinements,Time after Search,Search Depth
تلفزيون,"4,294",5.38,20.17%,11.44%,00:08:00,7.16
كورلا,"4,294",5.86,20.40%,11.52%,00:06:33,5.56
شقق للبيع,"4,264",10.98,28.31%,4.21%,00:12:29,9.52
bmw 320,"4,243",4.93,15.60%,14.98%,00:06:32,5.03
هايلوكس,"4,221",4.30,15.42%,17.02%,00:06:21,5.52
h100,"4,208",8.06,22.03%,6.67%,00:10:51,9.18
mercedes,"4,187",7.83,25.87%,7.88%,00:09:12,6.18
samsung,"4,186",5.71,22.24%,11.17%,00:08:46,5.85
hd,"4,178",6.28,18.79%,10.10%,00:09:42,8.65
شبح,"4,162",4.87,14.73%,13.65%,00:07:26,7.51
محلات,"4,158",9.07,27.13%,5.62%,00:12:13,9.65
شاشات,"4,152",4.78,19.44%,14.09%,00:07:15,5.82
موتو,"4,138",5.68,20.11%,10.76%,00:09:54,7.49
بكب نيسان,"4,135",4.88,13.47%,17.54%,00:06:46,4.91
نوكيا,"4,115",4.97,19.34%,12.87%,00:09:02,9.00
سستم,"4,103",6.13,20.42%,10.63%,00:07:16,7.23
ipad,"4,099",3.45,22.76%,15.92%,00:06:46,4.64
c180,"4,092",4.93,16.94%,14.53%,00:07:26,6.08
هوندا سفك,"4,092",6.21,16.08%,12.13%,00:07:37,6.46
دفع رباعي,"4,080",8.55,26.42%,6.96%,00:12:46,7.94
كنتر,"4,079",5.95,19.78%,11.21%,00:10:38,8.10
هيونداي,"4,066",7.12,21.00%,9.86%,00:08:45,5.99
بريجو,"4,051",5.47,17.33%,11.68%,00:08:11,7.44
318,"4,050",4.70,15.33%,14.92%,00:07:23,6.36
bmw x5,"4,043",4.89,14.25%,14.28%,00:07:24,6.20
ثلاجة,"3,996",5.70,18.79%,10.44%,00:09:18,8.02
